"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Visit https://glebbahmutov.com/blog/index.html and save the links to file","","0","0","1","0","0"
"","Snapshot website test scenarios","","0","0","1","0","0"
"","duckduckgo.com","","0","0","1","0","0"
